GAME_DATE,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,PLAYER_NAME
2025-03-17,W,10,2,3,0.667,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,1,4,10,Precious Achiuwa
2025-03-15,L,10,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,0,0,-3,Precious Achiuwa
2025-03-12,W,9,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,-4,Precious Achiuwa
2025-03-10,W,5,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-3,Precious Achiuwa
2025-03-07,L,16,4,6,0.667,0,0,0.0,1,1,1.0,1,4,5,2,0,1,0,0,9,3,Precious Achiuwa
2025-03-04,L,30,4,10,0.4,0,1,0.0,0,0,0.0,4,11,15,0,0,1,0,2,8,-2,Precious Achiuwa
2025-02-28,W,4,1,2,0.5,0,0,0.0,1,1,1.0,1,0,1,0,0,0,0,2,3,0,Precious Achiuwa
2025-02-26,W,31,3,6,0.5,0,0,0.0,1,2,0.5,2,4,6,2,0,4,2,2,7,3,Precious Achiuwa
2025-02-23,L,15,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,3,0,0,1,1,0,-9,Precious Achiuwa
2025-02-21,L,28,3,10,0.3,0,0,0.0,1,2,0.5,5,5,10,1,0,0,1,1,7,-25,Precious Achiuwa
2025-02-20,W,46,5,11,0.455,1,3,0.333,0,0,0.0,0,9,9,0,3,0,1,2,11,0,Precious Achiuwa
2025-02-12,W,42,12,16,0.75,0,1,0.0,2,3,0.667,3,5,8,1,1,2,0,2,26,2,Precious Achiuwa
2025-02-11,W,33,3,8,0.375,0,1,0.0,3,4,0.75,5,7,12,2,0,1,1,0,9,-2,Precious Achiuwa
2025-02-08,L,33,1,4,0.25,0,1,0.0,1,2,0.5,2,2,4,2,0,0,0,1,3,-37,Precious Achiuwa
2025-02-04,W,36,7,11,0.636,1,3,0.333,2,2,1.0,6,2,8,2,3,2,3,6,17,-14,Precious Achiuwa
