PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK
A.J. Lawson,TOR,24.0,23,13,10,0.565,17.6,108.0,108.7,108.7,112.2,110.7,110.7,-4.2,-2.0,-2.0,0.081,1.57,10.0,0.034,0.121,0.076,6.4,6.4,0.509,0.532,0.193,0.197,103.45,103.79,86.49,103.79,0.076,876,69,164,3.0,7.1,0.421,429,370,127,215,315,364,344,344,322,260,260,373,308,308,423,331,497,318,275,302,67,69,365,394,198,200,105,124,124,365,355,344,249,231,385
AJ Green,MIL,25.0,69,40,29,0.58,22.8,112.6,113.0,113.0,107.5,108.1,108.1,5.0,4.9,4.9,0.085,2.63,18.1,0.011,0.084,0.049,6.9,6.9,0.609,0.618,0.125,0.128,101.1,100.61,83.84,100.61,0.057,3298,173,404,2.5,5.9,0.428,104,79,377,198,214,188,176,176,134,143,143,122,120,120,405,91,260,519,458,495,92,91,69,90,485,490,304,325,325,475,233,224,300,287,358
AJ Johnson,WAS,20.0,25,7,18,0.28,19.8,105.3,105.6,105.6,113.0,113.7,113.7,-7.7,-8.1,-8.1,0.192,2.21,23.6,0.013,0.079,0.046,10.7,10.7,0.479,0.515,0.173,0.178,101.85,101.43,84.52,101.43,0.067,1051,68,164,2.7,6.6,0.415,416,453,221,472,265,434,424,424,372,376,376,436,443,443,143,149,120,506,484,514,350,350,434,427,269,273,236,265,265,428,358,344,280,255,396
Aaron Gordon,DEN,29.0,48,30,18,0.625,28.0,120.8,122.0,122.0,113.3,113.4,113.4,7.5,8.6,8.6,0.145,2.26,20.9,0.056,0.114,0.087,9.3,9.3,0.608,0.651,0.181,0.184,102.51,101.93,84.94,101.93,0.103,2859,235,445,4.9,9.3,0.528,282,181,221,127,127,24,16,16,382,360,360,74,60,60,230,135,183,163,305,239,250,251,72,40,233,244,179,222,222,180,171,200,124,144,82
Aaron Holiday,HOU,28.0,59,39,20,0.661,12.5,108.9,109.4,109.4,103.4,101.9,101.9,5.6,7.5,7.5,0.134,2.09,19.8,0.014,0.074,0.044,9.5,9.5,0.561,0.587,0.159,0.164,102.78,103.25,86.04,103.25,0.08,1577,105,244,1.8,4.1,0.43,197,91,256,96,397,325,304,304,51,51,51,108,72,72,267,175,213,493,506,524,274,270,177,192,326,328,157,140,140,345,309,303,380,371,347
Aaron Nesmith,IND,25.0,42,26,16,0.619,25.0,121.6,120.7,120.7,109.7,111.3,111.3,11.9,9.5,9.5,0.063,1.46,10.9,0.034,0.115,0.076,7.5,7.5,0.621,0.655,0.169,0.174,102.26,101.87,84.89,101.87,0.085,2223,179,352,4.3,8.4,0.509,323,227,191,136,182,16,23,23,217,277,277,32,53,53,499,369,475,321,301,303,118,118,56,36,284,285,198,226,226,295,228,243,152,171,110
Aaron Wiggins,OKC,26.0,72,58,14,0.806,22.6,119.9,120.3,120.3,106.5,106.8,106.8,13.4,13.5,13.5,0.098,1.97,13.6,0.047,0.111,0.08,6.9,6.9,0.578,0.594,0.195,0.199,102.0,101.64,84.7,101.64,0.103,3445,324,666,4.5,9.3,0.486,60,4,170,37,221,33,24,24,96,98,98,24,21,21,358,215,397,209,320,278,94,96,126,164,188,194,223,245,245,179,101,104,141,146,157
Adam Flagler,OKC,25.0,33,30,3,0.909,4.4,98.4,94.3,94.3,99.6,98.0,98.0,-1.2,-3.7,-3.7,0.094,2.67,9.5,0.041,0.077,0.058,3.6,3.6,0.301,0.301,0.219,0.235,96.45,99.32,82.77,99.32,0.009,297,17,73,0.5,2.2,0.233,379,181,40,13,522,517,528,528,27,37,37,292,358,358,370,85,510,255,492,433,26,26,534,540,120,99,542,434,434,546,470,430,515,471,538
Adama Sanogo,CHI,23.0,4,2,2,0.5,5.4,112.0,104.2,104.2,123.9,122.2,122.2,-11.9,-18.1,-18.1,0.067,1.0,11.1,0.217,0.053,0.143,11.1,11.1,0.571,0.571,0.145,0.158,99.4,103.82,86.52,103.82,0.078,48,4,7,1.0,1.8,0.571,531,516,24,263,504,210,448,448,548,542,542,500,541,541,487,460,466,3,545,65,369,375,152,246,393,363,434,122,122,356,516,532,464,494,54
Adem Bona,PHI,22.0,54,11,43,0.204,14.3,108.6,108.7,108.7,114.7,114.4,114.4,-6.1,-5.7,-5.7,0.046,0.51,9.5,0.099,0.166,0.133,18.7,18.6,0.697,0.711,0.128,0.133,99.77,99.89,83.24,99.89,0.088,1618,108,155,2.0,2.9,0.697,241,399,524,517,373,343,345,345,443,406,406,405,393,393,534,527,509,53,133,87,548,548,15,12,473,468,409,389,389,268,305,353,352,438,11
