hometeam,awayteam,datetime,score,result
BOS,NYK,10/22/2024,109-132,W
LAL,MIN,10/22/2024,103-110,W
DET,IND,10/23/2024,115-109,L
ATL,BKN,10/23/2024,116-120,W
MIA,ORL,10/23/2024,116-97,L
PHI,MIL,10/23/2024,124-109,L
TOR,CLE,10/23/2024,136-106,L
HOU,CHA,10/23/2024,110-105,L
NOP,CHI,10/23/2024,111-123,W
UTA,MEM,10/23/2024,126-124,L
LAC,PHX,10/23/2024,116-113,L
POR,GSW,10/23/2024,140-104,L
WAS,BOS,10/24/2024,122-102,L
DAL,SAS,10/24/2024,109-120,W
SAC,MIN,10/24/2024,117-115,L
DEN,OKC,10/24/2024,102-87,L
ORL,BKN,10/25/2024,101-116,W
TOR,PHI,10/25/2024,107-115,W
ATL,CHA,10/25/2024,120-125,W
CLE,DET,10/25/2024,101-113,W
NYK,IND,10/25/2024,98-123,W
HOU,MEM,10/25/2024,108-128,W
MIL,CHI,10/25/2024,133-122,L
UTA,GSW,10/25/2024,127-86,L
LAL,PHX,10/25/2024,116-123,W
POR,NOP,10/25/2024,105-103,L
DEN,LAC,10/26/2024,109-104,L
WAS,CLE,10/26/2024,135-116,L
DET,BOS,10/26/2024,124-118,L
CHA,MIA,10/26/2024,114-106,L
MEM,ORL,10/26/2024,111-124,W
MIN,TOR,10/26/2024,101-112,W
CHI,OKC,10/26/2024,114-95,L
SAS,HOU,10/26/2024,106-109,W
PHX,DAL,10/26/2024,102-114,W
LAL,SAC,10/26/2024,127-131,W
IND,PHI,10/27/2024,118-114,L
POR,NOP,10/27/2024,103-125,W
BKN,MIL,10/27/2024,102-115,W
OKC,ATL,10/27/2024,104-128,W
GSW,LAC,10/27/2024,112-104,L
ORL,IND,10/28/2024,115-119,W
ATL,WAS,10/28/2024,121-119,L
BOS,MIL,10/28/2024,108-119,W
TOR,DEN,10/28/2024,127-125,L
MIA,DET,10/28/2024,98-106,W
NYK,CLE,10/28/2024,110-104,L
SAS,HOU,10/28/2024,106-101,L
MEM,CHI,10/28/2024,126-123,L
DAL,UTA,10/28/2024,102-110,W
SAC,POR,10/28/2024,98-111,W
PHX,LAL,10/28/2024,105-109,W
BKN,DEN,10/29/2024,144-139,L
MIN,DAL,10/29/2024,120-114,L
UTA,SAC,10/29/2024,113-96,L
GSW,NOP,10/29/2024,106-124,W
PHI,DET,10/30/2024,105-95,L
WAS,ATL,10/30/2024,120-133,W
IND,BOS,10/30/2024,132-135,W
CLE,LAL,10/30/2024,110-134,W
CHA,TOR,10/30/2024,133-138,W
MIA,NYK,10/30/2024,116-107,L
CHI,ORL,10/30/2024,99-102,W
MEM,BKN,10/30/2024,119-106,L
OKC,SAS,10/30/2024,93-105,W
GSW,NOP,10/30/2024,89-104,W
LAC,POR,10/30/2024,106-105,L
MEM,MIL,10/31/2024,99-122,W
DAL,HOU,10/31/2024,108-102,L
UTA,SAS,10/31/2024,106-88,L
LAC,PHX,10/31/2024,125-119,L
CHA,BOS,11/1/2024,124-109,L
CLE,ORL,11/1/2024,109-120,W
DET,NYK,11/1/2024,128-98,L
ATL,SAC,11/1/2024,123-115,L
BKN,CHI,11/1/2024,112-120,W
TOR,LAL,11/1/2024,131-125,L
NOP,IND,11/1/2024,118-125,W
MIN,DEN,11/1/2024,116-119,W
POR,OKC,11/1/2024,137-114,L
CHA,BOS,11/2/2024,113-103,L
PHI,MEM,11/2/2024,124-107,L
TOR,SAC,11/2/2024,128-131,W
HOU,GSW,11/2/2024,127-121,L
MIL,CLE,11/2/2024,114-113,L
SAS,MIN,11/2/2024,103-113,W
WAS,MIA,11/2/2024,118-98,L
DEN,UTA,11/2/2024,103-129,W
PHX,POR,11/2/2024,97-103,W
LAC,OKC,11/2/2024,105-92,L
BKN,DET,11/3/2024,106-92,L
NOP,ATL,11/3/2024,126-111,L
DAL,ORL,11/3/2024,85-108,W
CLE,MIL,11/4/2024,114-116,W
WAS,GSW,11/4/2024,125-112,L
DET,LAL,11/4/2024,103-115,W
ATL,BOS,11/4/2024,123-93,L
BKN,MEM,11/4/2024,104-106,W
MIA,SAC,11/4/2024,111-110,L
CHI,UTA,11/4/2024,135-126,L
HOU,NYK,11/4/2024,97-109,W
MIN,CHA,11/4/2024,93-114,W
OKC,ORL,11/4/2024,86-102,W
NOP,POR,11/4/2024,118-100,L
DAL,IND,11/4/2024,134-127,L
DEN,TOR,11/4/2024,119-121,W
PHX,PHI,11/4/2024,116-118,W
LAC,SAS,11/4/2024,104-113,W
CHA,DET,11/6/2024,107-108,W
IND,ORL,11/6/2024,111-118,W
ATL,NYK,11/6/2024,116-121,W
BOS,GSW,11/6/2024,118-112,L
HOU,SAS,11/6/2024,100-127,W
MEM,LAL,11/6/2024,114-131,W
NOP,CLE,11/6/2024,131-122,L
DAL,CHI,11/6/2024,99-119,W
DEN,OKC,11/6/2024,122-124,W
PHX,MIA,11/6/2024,112-115,W
LAC,PHI,11/6/2024,98-110,W
SAC,TOR,11/6/2024,107-122,W
CHI,MIN,11/7/2024,135-119,L
MIL,UTA,11/7/2024,100-123,W
SAS,POR,11/7/2024,105-118,W
CHA,IND,11/8/2024,83-103,W
DET,ATL,11/8/2024,121-122,W
ORL,NOP,11/8/2024,88-115,W
BOS,BKN,11/8/2024,104-108,W
CLE,GSW,11/8/2024,117-136,W
