Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
MEM,69,122.7,45.1,93.6,48.2,13.7,37.3,36.7,18.8,23.9,78.4,13.3,34.4,47.6,28.8,9.0,5.9,15.4,21.0
CLE,68,122.5,44.5,90.4,49.2,16.0,41.3,38.7,17.5,22.2,78.7,10.9,34.3,45.2,28.4,8.2,4.3,12.5,18.4
DEN,69,121.1,45.7,90.2,50.6,12.2,31.9,38.2,17.6,22.7,77.5,11.3,34.4,45.8,31.1,8.2,4.8,13.5,17.7
OKC,68,119.6,44.4,92.6,47.9,14.2,38.8,36.6,16.6,20.2,82.3,10.8,33.9,44.7,26.6,10.5,5.7,11.1,20.2
ATL,69,117.3,43.0,92.0,46.7,13.1,37.1,35.3,18.3,23.6,77.4,11.9,32.8,44.7,29.2,9.9,5.4,14.8,18.8
NYK,67,116.7,43.7,89.5,48.8,12.7,34.1,37.1,16.8,20.9,80.4,10.8,32.2,43.0,27.2,8.0,4.0,12.3,17.0
IND,67,116.6,43.5,89.0,48.9,13.0,35.3,36.9,16.5,21.0,78.7,9.0,32.0,41.0,29.2,8.6,5.1,12.5,18.9
SAC,67,116.5,43.3,90.6,47.8,12.6,35.6,35.2,17.5,21.7,80.5,11.1,33.4,44.5,26.9,7.8,4.6,12.9,18.9
CHI,68,116.5,42.7,92.2,46.3,15.5,42.8,36.3,15.6,19.3,80.8,9.9,35.6,45.5,28.7,7.5,4.7,13.9,17.9
BOS,69,116.4,41.5,89.9,46.1,17.8,48.1,36.9,15.7,19.7,79.9,11.0,33.8,44.8,25.7,7.3,5.6,11.4,16.2
DET,69,115.0,42.6,89.5,47.6,12.8,35.5,36.0,17.0,21.8,77.8,11.3,34.1,45.3,26.4,8.2,5.2,14.6,20.6
DAL,69,114.7,42.0,88.5,47.5,13.0,35.4,36.7,17.7,22.7,77.8,10.4,32.9,43.3,25.3,7.8,5.6,13.1,18.0
MIL,68,114.5,41.6,86.7,48.0,14.1,37.0,38.3,17.1,22.6,75.3,8.4,35.6,44.0,25.1,7.3,4.8,13.1,18.2
PHX,69,114.4,41.2,85.8,48.0,14.4,37.6,38.3,17.6,21.8,80.8,9.1,33.7,42.8,28.0,7.2,5.0,13.2,18.2
SAS,67,114.1,41.9,89.9,46.6,14.0,39.5,35.3,16.4,21.2,77.4,11.0,32.9,43.9,29.1,8.2,5.9,13.3,16.6
HOU,69,113.7,42.2,93.6,45.1,12.4,35.8,34.7,16.9,22.9,74.0,14.8,33.9,48.7,23.1,8.4,5.0,13.2,19.4
MIN,70,113.4,40.5,87.5,46.3,15.1,40.0,37.8,17.2,21.7,79.2,10.9,33.1,44.0,25.9,8.2,4.9,13.8,18.1
GSW,69,113.3,40.9,90.8,45.0,15.3,42.2,36.2,16.3,21.6,75.3,12.6,33.2,45.9,29.1,9.1,5.1,13.2,19.6
LAL,67,113.0,41.0,85.7,47.8,12.8,35.8,35.8,18.2,23.2,78.5,9.6,33.1,42.7,26.3,7.7,4.7,13.0,17.0
UTA,69,112.2,40.3,88.2,45.7,13.8,39.2,35.3,17.8,23.0,77.3,12.1,33.8,46.0,25.6,6.6,4.6,16.8,19.0
LAC,69,111.7,41.1,86.4,47.6,12.3,33.8,36.3,17.2,21.7,79.3,10.6,33.2,43.8,25.0,9.6,4.5,14.2,18.4
TOR,69,110.6,41.3,90.0,45.9,11.5,33.2,34.8,16.4,21.9,75.0,12.4,32.3,44.8,28.3,7.8,4.4,14.9,21.5
POR,69,110.6,40.4,89.4,45.1,12.8,37.0,34.6,17.1,22.2,76.8,12.8,31.5,44.3,23.6,8.1,5.4,15.2,19.3
NOP,69,110.4,40.7,90.4,45.0,12.1,34.9,34.6,16.9,22.2,76.0,12.3,31.2,43.4,25.5,8.7,5.4,13.6,17.9
PHI,68,110.0,39.7,87.1,45.6,12.8,36.8,34.7,17.8,22.7,78.6,10.2,29.2,39.4,23.0,9.4,4.3,12.7,19.4
MIA,68,109.1,39.6,86.5,45.7,13.6,38.0,35.8,16.3,20.7,79.1,9.5,33.8,43.3,26.2,7.9,3.8,12.8,15.7
WAS,67,108.7,39.6,90.3,43.8,13.2,39.3,33.6,16.3,20.9,78.3,10.8,33.4,44.3,25.5,7.7,5.3,15.2,20.3
CHA,68,105.7,38.4,89.9,42.8,13.2,39.1,33.8,15.6,19.9,78.4,12.7,32.7,45.4,24.3,7.8,4.7,14.8,19.2
BKN,69,105.5,37.7,85.9,43.9,13.5,38.9,34.6,16.6,20.9,79.1,11.1,30.0,41.1,25.1,7.9,4.5,13.7,20.6
ORL,69,104.6,37.7,85.6,44.1,10.9,35.0,31.1,18.2,23.7,77.0,11.1,30.3,41.4,22.8,8.9,6.0,13.3,20.7
